NTA_lat,NTA_long,buildings
40.80788646974493,-73.96254407122397,2946.0
40.72762033383255,-73.98593461195252,2383.0
40.74758077289947,-73.99901992342878,1913.0
40.77732494193296,-73.94868255727877,1872.0
40.720766121035,-74.00474750215801,1774.0
40.76416511873816,-73.9923992723976,1607.0
40.8979309523011,-73.85221587988438,1535.0
40.82703366691069,-73.94846693409417,1523.0
40.79037998138091,-73.97390784022548,1442.0
40.877142279045074,-73.87902106926857,1406.0
40.73304509562114,-74.0015466372372,1260.0
40.77472985232449,-73.96117409546248,1256.0
40.872461131701534,-73.84799806584263,1230.0
40.7178410373628,-73.980910550939,1132.0
40.81825704827704,-73.9407715246055,1122.0
40.79001128708913,-73.94575086002436,1077.0
40.774846583393455,-73.98469930623426,1074.0
40.85778148187093,-73.88586708731046,1039.0
40.85710625070862,-73.9328333834672,975.0
40.74422103839783,-73.9775154803447,933.0
40.7543131841428,-73.969018457856,881.0
40.82790015500255,-73.86968191369107,876.0
40.84170651959694,-73.9413997364771,818.0
40.80433264424693,-73.95129424485714,776.0
40.8011684124129,-73.93734577107963,768.0
40.83051123046775,-73.91578860603548,661.0
40.807347132488246,-73.91682138430652,654.0
40.84274666378669,-73.90031781559387,641.0
40.76496428316049,-73.95508804905873,633.0
40.84496706418226,-73.88552387705329,480.0
40.81825954558028,-73.91285012599909,471.0
40.70800739748584,-74.01024580889407,447.0
40.83774661945086,-73.857988846515,440.0
40.84678571296774,-73.85066353057776,427.0
40.73682434672817,-73.9840542975779,396.0
40.86788284818757,-73.91766203747093,373.0
40.8275124428439,-73.90235187026127,364.0
40.81805458849719,-73.85618761808409,355.0
40.82333237464716,-73.82358795790547,335.0
40.86768209053005,-73.8901836362078,330.0
40.82899723894171,-73.92439888928251,324.0
40.85252203480638,-73.91597420552891,305.0
40.88240602000621,-73.91066684061103,260.0
40.75257951269893,-73.86303630152253,239.0
40.69150749761983,-73.9499050211329,236.0
40.89953496820569,-73.9069847604234,218.0
40.68816824316435,-73.93188820624536,180.0
40.66655893770658,-73.89536412006585,179.0
40.65817283235107,-73.8448871234811,156.0
40.63094965530206,-73.98866123041203,149.0
40.67209021092979,-73.77303860760561,149.0
40.739494889149,-73.8771183268101,145.0
40.638042327711965,-73.89975089660601,145.0
40.59586510626867,-74.17636527723057,142.0
40.83782589267865,-73.92615881201503,140.0
40.630050007081216,-74.10286114917746,137.0
40.68217801866513,-73.8783344135671,127.0
40.60244626135848,-73.75531195191157,125.0
40.67122829682977,-73.9839032868623,124.0
40.68873094404904,-73.85576448007149,124.0
40.69442746765774,-73.79096387824596,121.0
40.6145798899856,-73.91524588487795,119.0
40.68796681288217,-73.96236332341726,118.0
40.706531363612704,-73.90171541060506,118.0
40.67663761763486,-73.91364751083654,117.0
40.71536854625292,-73.93679688042977,116.0
40.63130730484034,-74.16737144321361,115.0
40.74927804184557,-73.90373166031507,113.0
40.703916526132,-73.95859674795682,110.0
40.81208906407824,-73.88554684118738,109.0
40.65236498945404,-73.92225092111902,101.0
40.71545452531067,-73.74153181008387,98.0
40.6042602259382,-74.0074826443686,98.0
40.74308450685255,-73.81964130040596,97.0
40.69292731152471,-73.98598652422982,97.0
40.71159464381615,-73.80871182405201,96.0
40.69079510513449,-73.97488147952565,93.0
40.552659638767565,-74.18848213217112,92.0
40.6461118953468,-73.9516232199433,91.0
40.76149375451989,-73.91969704447682,90.0
40.58829946031913,-73.94151065111895,89.0
40.7541089694526,-73.80729444050496,89.0
40.69120183503448,-73.76314607498037,89.0
40.67446900360093,-73.93929053594061,83.0
40.84659693662345,-73.8064931176088,81.0
40.72639943341965,-73.81866840459611,79.0
40.67615527360135,-73.81945921646091,78.0
40.76109341292025,-73.82886536759752,77.0
40.586559675799926,-74.13297490106345,76.0
40.6536119760564,-73.97798272747355,76.0
40.704368757648346,-73.79397966825385,75.0
40.66218792310775,-73.76448889899105,75.0
40.73977233207323,-73.93121209200034,74.0
40.780923219140085,-73.84280567084586,73.0
40.77741722310929,-73.90540613741359,73.0
40.78819127627854,-73.81564320134655,72.0
40.64188919436901,-74.00464613077847,72.0
40.67877154902519,-74.00389956866022,70.0
40.657841468762136,-73.73945475132105,69.0
40.771570382460126,-73.92833316728714,68.0
40.52552798467472,-74.23355367045801,68.0
40.72399512905009,-73.90232988043324,68.0
40.66461062709398,-73.79861594419954,67.0
40.61797302808805,-74.08783920014451,67.0
40.7573118592526,-73.88532108050227,66.0
40.8739796481424,-73.82827934026612,66.0
40.71833790869767,-73.8800535211673,66.0
40.60491359561196,-73.94813559482512,65.0
40.60032103687097,-74.07177466676795,64.0
40.763352201155264,-73.86839559826987,62.0
40.69030234217424,-73.83276348348065,62.0
40.69454069442224,-73.83092640099397,62.0
40.67559942676986,-73.84704874573309,61.0
40.62485462355716,-74.02988679847549,60.0
40.729499700807246,-73.94951695167907,59.0
40.60142535315765,-73.98354410301937,59.0
40.62816722670551,-74.14078722784741,57.0
40.66400194868426,-73.9102548637828,55.0
40.66653550984713,-73.94877561651239,55.0
40.700560683154535,-73.91776601133527,55.0
40.6173149605957,-73.9703258001996,54.0
40.59405971011894,-73.78962139431397,53.0
40.76372843942197,-73.73693765999688,53.0
40.742675812407576,-73.75461549910108,53.0
40.626273053875394,-73.93009687459897,52.0
40.6224386002368,-74.01209534451164,50.0
40.72065535481476,-73.77610063972261,49.0
40.55186011949582,-74.15088962486898,46.0
40.783329944305535,-73.78596157151313,45.0
40.75103562298981,-73.78794881529473,45.0
40.72143075227868,-73.84767281529506,43.0
40.71491531202915,-73.95862346789869,42.0
40.76273268441473,-73.77342351074492,41.0
40.745993478570256,-73.71102517964985,40.0
40.57148479270609,-73.87647357091808,38.0
40.57648122289529,-73.99123405592606,29.0
40.735489628023046,-73.72665578734754,26.0
40.65238020582426,-74.01123625854488,23.0
40.73489448639476,-73.78371636114144,23.0
40.72615545587401,-73.86333861099067,21.0
40.69434146001008,-73.73555421066426,18.0
40.708057064978334,-73.82870070870557,15.0
40.66094626441516,-73.87683924673846,13.0
40.755733929854735,-73.98350302087132,8.0
40.76835158791792,-73.80954590112775,0.0
40.58840281805082,-73.98143050413951,0.0
40.70353497043596,-73.87574826054426,0.0
40.8765133819302,-73.89562209795781,0.0
40.54033376720194,-74.20782757948685,0.0
40.84905813130867,-73.90512194941381,0.0
40.5790886862993,-73.97339094988965,0.0
40.882156187836735,-73.858949122879,0.0
40.64059013188992,-73.97619901935508,0.0
40.647526284927736,-73.88241259897559,0.0
40.83399611808212,-73.8858973508187,0.0
40.72833317193866,-73.80244496724222,0.0
40.71063933412504,-73.7611370511429,0.0
40.86526567552461,-73.90591108498285,0.0
40.62092403927339,-73.95682458081475,0.0
40.79113032453567,-73.88265513781992,0.0
40.742348941749,-73.85837079063434,0.0
40.73831641714256,-73.89217317475966,0.0
40.85815440178615,-73.89953703434388,0.0
40.696458816404906,-73.92511472597955,0.0
40.618729466067954,-74.07370560707996,0.0
40.715607062984,-73.99462954009593,0.0
40.64394703597234,-73.93793003186316,0.0
40.75755983715688,-73.93874960665772,0.0
40.58679198950333,-74.08551310571646,0.0
40.61222181802147,-73.99526015577835,0.0
40.54577851890854,-74.12835122251354,0.0
40.81802267808448,-73.95382231943233,0.0
40.864004852787474,-73.86490227801215,0.0
40.67764232716247,-73.96758605431256,0.0
40.580922842200685,-73.9612157959808,0.0
40.59995428597973,-73.96433366873585,0.0
40.61688447148831,-74.12535267818313,0.0
40.63897114145984,-74.10231018500836,0.0
40.83210042759504,-73.84864267680445,0.0
40.63790027576093,-73.96097028863977,0.0
40.78794252871055,-73.95480022002575,0.0
40.83416510207033,-73.87228720813977,0.0
40.85440419560324,-73.85439415452791,0.0
40.864473327711245,-73.84742993441685,0.0
40.67591683093109,-73.74452524140894,0.0
40.561996180014745,-74.12259011864387,0.0
40.52864510106311,-74.18773391921759,0.0
40.88093721535438,-73.83664062764922,0.0
40.69546846088989,-73.99486984638675,0.0
40.57176579450207,-74.10500837353116,0.0
40.731811743434726,-73.97656325695826,0.0
40.658744262387785,-73.94744157690593,0.0
40.62309491347943,-73.91958830094578,0.0
40.81967506615691,-73.89895677783043,0.0
40.67895334366065,-73.79098745213146,0.0
